Yr,Mn,Date_excel,Date,CO2_ppm,seasonally_adjusted_ppm,fit_ppm,seasonally_adjusted_fit,CO2_filled_ppm,seasonally_adjusted_filled_ppm
1973,7,26860,1973.537,330.87,330.15,330.47,329.78,330.87,330.15
1973,8,26891,1973.6219,329.31,330.62,328.54,329.88,329.31,330.62
1973,9,26922,1973.7068,327.51,330.54,326.92,329.96,327.51,330.54
1973,10,26952,1973.789,327.18,330.32,326.88,330.01,327.18,330.32
1973,11,26983,1973.874,328.16,330.13,328.1,330.05,328.16,330.13
1973,12,27013,1973.9562,328.64,329.45,329.27,330.07,328.64,329.45
1974,1,27044,1974.0411,329.35,329.32,330.13,330.09,329.35,329.32
1974,2,27075,1974.126,330.71,330.06,330.77,330.11,330.71,330.06
1974,3,27103,1974.2027,331.48,330.13,331.5,330.14,331.48,330.13
1974,4,27134,1974.2877,332.65,330.21,332.62,330.17,332.65,330.21
1974,5,27164,1974.3699,333.09,330.14,333.16,330.21,333.09,330.14
1974,6,27195,1974.4548,332.25,330.01,332.47,330.26,332.25,330.01
1974,7,27225,1974.537,331.18,330.45,331,330.3,331.18,330.45
1974,8,27256,1974.6219,329.39,330.71,329,330.36,329.39,330.71
1974,9,27287,1974.7068,327.43,330.47,327.35,330.41,327.43,330.47
1974,10,27317,1974.789,327.37,330.52,327.32,330.46,327.37,330.52
1974,11,27348,1974.874,328.46,330.44,328.56,330.52,328.46,330.44
1974,12,27378,1974.9562,329.57,330.39,329.78,330.58,329.57,330.39
1975,1,27409,1975.0411,330.4,330.37,330.69,330.65,330.4,330.37
1975,2,27440,1975.126,331.4,330.76,331.39,330.73,331.4,330.76
1975,3,27468,1975.2027,332.04,330.69,332.18,330.81,332.04,330.69
1975,4,27499,1975.2877,333.31,330.87,333.37,330.91,333.31,330.87
1975,5,27529,1975.3699,333.97,331.01,333.96,331,333.97,331.01
1975,6,27560,1975.4548,333.6,331.36,333.33,331.1,333.6,331.36
1975,7,27590,1975.537,331.9,331.18,331.9,331.2,331.9,331.18
1975,8,27621,1975.6219,330.06,331.38,329.94,331.29,330.06,331.38
1975,9,27652,1975.7068,328.56,331.6,328.32,331.39,328.56,331.6
1975,10,27682,1975.789,328.34,331.5,328.32,331.47,328.34,331.5
1975,11,27713,1975.874,329.49,331.47,329.59,331.56,329.49,331.47
1975,12,27743,1975.9562,330.76,331.58,330.84,331.64,330.76,331.58
1976,1,27774,1976.041,331.75,331.72,331.76,331.72,331.75,331.72
1976,2,27805,1976.1257,332.56,331.92,332.46,331.8,332.56,331.92
1976,3,27834,1976.2049,333.5,332.12,333.27,331.87,333.5,332.12
1976,4,27865,1976.2896,334.58,332.11,334.44,331.95,334.58,332.11
1976,5,27895,1976.3716,334.88,331.91,334.99,332.02,334.88,331.91
1976,6,27926,1976.4563,334.33,332.11,334.32,332.11,334.33,332.11
1976,7,27956,1976.5383,333.05,332.35,332.86,332.19,333.05,332.35
1976,8,27987,1976.623,330.94,332.3,330.89,332.28,330.94,332.3
1976,9,28018,1976.7077,329.3,332.37,329.3,332.38,329.3,332.37
1976,10,28048,1976.7896,328.94,332.11,329.34,332.5,328.94,332.11
1976,11,28079,1976.8743,330.31,332.3,330.66,332.63,330.31,332.3
1976,12,28109,1976.9563,331.68,332.5,331.97,332.77,331.68,332.5
1977,1,28140,1977.0411,332.93,332.9,332.97,332.93,332.93,332.9
1977,2,28171,1977.126,333.42,332.77,333.76,333.1,333.42,332.77
1977,3,28199,1977.2027,334.7,333.34,334.64,333.27,334.7,333.34
1977,4,28230,1977.2877,336.07,333.61,335.93,333.45,336.07,333.61
1977,5,28260,1977.3699,336.75,333.77,336.61,333.63,336.75,333.77
1977,6,28291,1977.4548,336.27,334.01,336.06,333.82,336.27,334.01
1977,7,28321,1977.537,334.92,334.19,334.69,333.99,334.92,334.19
1977,8,28352,1977.6219,332.75,334.09,332.79,334.15,332.75,334.09
1977,9,28383,1977.7068,331.59,334.66,331.23,334.31,331.59,334.66
1977,10,28413,1977.789,331.16,334.35,331.28,334.46,331.16,334.35
1977,11,28444,1977.874,332.4,334.4,332.62,334.6,332.4,334.4
1977,12,28474,1977.9562,333.85,334.67,333.93,334.74,333.85,334.67
1978,1,28505,1978.0411,334.97,334.94,334.92,334.88,334.97,334.94
1978,2,28536,1978.126,335.38,334.73,335.67,335.01,335.38,334.73
1978,3,28564,1978.2027,336.64,335.28,336.51,335.13,336.64,335.28
1978,4,28595,1978.2877,337.76,335.29,337.74,335.25,337.76,335.29
1978,5,28625,1978.3699,338.01,335.02,338.36,335.37,338.01,335.02
1978,6,28656,1978.4548,337.89,335.63,337.74,335.49,337.89,335.63
1978,7,28686,1978.537,336.54,335.81,336.3,335.59,336.54,335.81
1978,8,28717,1978.6219,334.68,336.02,334.33,335.7,334.68,336.02
1978,9,28748,1978.7068,332.76,335.84,332.7,335.8,332.76,335.84
1978,10,28778,1978.789,332.55,335.74,332.7,335.89,332.55,335.74
1978,11,28809,1978.874,333.92,335.93,334,335.98,333.92,335.93
1978,12,28839,1978.9562,334.95,335.77,335.27,336.08,334.95,335.77
1979,1,28870,1979.0411,336.23,336.2,336.23,336.19,336.23,336.2
1979,2,28901,1979.126,336.76,336.1,336.97,336.3,336.76,336.1
1979,3,28929,1979.2027,337.96,336.59,337.79,336.41,337.96,336.59
1979,4,28960,1979.2877,338.88,336.41,339.03,336.54,338.88,336.41
1979,5,28990,1979.3699,339.47,336.47,339.66,336.66,339.47,336.47
1979,6,29021,1979.4548,339.29,337.01,339.05,336.8,339.29,337.01
1979,7,29051,1979.537,337.73,336.99,337.64,336.93,337.73,336.99
1979,8,29082,1979.6219,336.09,337.43,335.7,337.07,336.09,337.43
1979,9,29113,1979.7068,333.92,337,334.11,337.22,333.92,337
1979,10,29143,1979.789,333.86,337.07,334.17,337.36,333.86,337.07
1979,11,29174,1979.874,335.29,337.31,335.53,337.52,335.29,337.31
1979,12,29204,1979.9562,336.73,337.56,336.87,337.68,336.73,337.56
1980,1,29235,1980.041,338.01,337.99,337.89,337.85,338.01,337.99
1980,2,29266,1980.1257,338.36,337.7,338.68,338.02,338.36,337.7
1980,3,29295,1980.2049,340.07,338.68,339.59,338.17,340.07,338.68
1980,4,29326,1980.2896,340.77,338.26,340.86,338.33,340.77,338.26
1980,5,29356,1980.3716,341.47,338.46,341.49,338.48,341.47,338.46
1980,6,29387,1980.4563,341.17,338.91,340.87,338.63,341.17,338.91
1980,7,29417,1980.5383,339.56,338.85,339.45,338.77,339.56,338.85
1980,8,29448,1980.623,337.6,338.97,337.49,338.9,337.6,338.97
1980,9,29479,1980.7077,335.88,338.99,335.89,339.02,335.88,338.99
1980,10,29509,1980.7896,336.02,339.23,335.93,339.13,336.02,339.23
1980,11,29540,1980.8743,337.1,339.12,337.24,339.24,337.1,339.12
1980,12,29570,1980.9563,338.21,339.04,338.53,339.34,338.21,339.04
1981,1,29601,1981.0411,339.24,339.21,339.48,339.44,339.24,339.21
1981,2,29632,1981.126,340.48,339.81,340.22,339.55,340.48,339.81
1981,3,29660,1981.2027,341.38,340,341.03,339.63,341.38,340
1981,4,29691,1981.2877,342.51,340.01,342.23,339.72,342.51,340.01
1981,5,29721,1981.3699,342.91,339.89,342.83,339.81,342.91,339.89
1981,6,29752,1981.4548,342.25,339.96,342.16,339.89,342.25,339.96
1981,7,29782,1981.537,340.49,339.74,340.68,339.97,340.49,339.74
1981,8,29813,1981.6219,338.43,339.78,338.68,340.06,338.43,339.78
1981,9,29844,1981.7068,336.69,339.8,337.03,340.16,336.69,339.8
1981,10,29874,1981.789,336.86,340.09,337.04,340.26,336.86,340.09
1981,11,29905,1981.874,338.36,340.39,338.37,340.37,338.36,340.39
1981,12,29935,1981.9562,339.61,340.45,339.67,340.48,339.61,340.45
1982,1,29966,1982.0411,340.75,340.72,340.63,340.59,340.75,340.72
1982,2,29997,1982.126,341.61,340.95,341.37,340.7,341.61,340.95
1982,3,30025,1982.2027,342.7,341.32,342.19,340.79,342.7,341.32
1982,4,30056,1982.2877,343.57,341.06,343.4,340.88,343.57,341.06
1982,5,30086,1982.3699,344.14,341.11,343.99,340.96,344.14,341.11
1982,6,30117,1982.4548,343.35,341.05,343.32,341.04,343.35,341.05
1982,7,30147,1982.537,342.06,341.31,341.83,341.11,342.06,341.31
1982,8,30178,1982.6219,339.81,341.17,339.8,341.19,339.81,341.17
1982,9,30209,1982.7068,337.98,341.1,338.14,341.28,337.98,341.1
1982,10,30239,1982.789,337.86,341.1,338.14,341.37,337.86,341.1
1982,11,30270,1982.874,339.26,341.3,339.47,341.49,339.26,341.3
1982,12,30300,1982.9562,340.49,341.32,340.8,341.62,340.49,341.32
1983,1,30331,1983.0411,341.38,341.35,341.81,341.77,341.38,341.35
1983,2,30362,1983.126,342.52,341.86,342.62,341.94,342.52,341.86
1983,3,30390,1983.2027,343.1,341.71,343.51,342.11,343.1,341.71
1983,4,30421,1983.2877,344.94,342.43,344.83,342.3,344.94,342.43
1983,5,30451,1983.3699,345.76,342.71,345.54,342.49,345.76,342.71
1983,6,30482,1983.4548,345.32,343.01,344.97,342.69,345.32,343.01
1983,7,30512,1983.537,343.98,343.23,343.58,342.86,343.98,343.23
1983,8,30543,1983.6219,342.38,343.74,341.64,343.03,342.38,343.74
1983,9,30574,1983.7068,339.87,343,340.05,343.19,339.87,343
1983,10,30604,1983.789,339.99,343.25,340.1,343.34,339.99,343.25
1983,11,30635,1983.874,341.15,343.2,341.47,343.49,341.15,343.2
1983,12,30665,1983.9562,342.99,343.83,342.8,343.62,342.99,343.83
1984,1,30696,1984.041,343.7,343.67,343.8,343.76,343.7,343.67
1984,2,30727,1984.1257,344.5,343.84,344.57,343.89,344.5,343.84
1984,3,30756,1984.2049,345.28,343.86,345.45,344.01,345.28,343.86
1984,4,30787,1984.2896,347.06,344.52,346.7,344.14,347.06,344.52
1984,5,30817,1984.3716,347.43,344.38,347.31,344.26,347.43,344.38
1984,6,30848,1984.4563,346.8,344.5,346.66,344.38,346.8,344.5
1984,7,30878,1984.5383,345.39,344.67,345.19,344.5,345.39,344.67
1984,8,30909,1984.623,343.28,344.67,343.19,344.62,343.28,344.67
1984,9,30940,1984.7077,341.07,344.23,341.57,344.74,341.07,344.23
1984,10,30970,1984.7896,341.35,344.61,341.61,344.86,341.35,344.61
1984,11,31001,1984.8743,342.98,345.02,342.97,344.99,342.98,345.02
1984,12,31031,1984.9563,344.22,345.06,344.3,345.12,344.22,345.06
1985,1,31062,1985.0411,344.97,344.94,345.29,345.25,344.97,344.94
1985,2,31093,1985.126,345.99,345.32,346.07,345.39,345.99,345.32
1985,3,31121,1985.2027,347.42,346.03,346.92,345.5,347.42,346.03
1985,4,31152,1985.2877,348.35,345.82,348.17,345.62,348.35,345.82
1985,5,31182,1985.3699,348.93,345.87,348.79,345.73,348.93,345.87
1985,6,31213,1985.4548,348.25,345.93,348.14,345.83,348.25,345.93
1985,7,31243,1985.537,346.56,345.81,346.65,345.93,346.56,345.81
1985,8,31274,1985.6219,344.67,346.04,344.61,346.02,344.67,346.04
1985,9,31305,1985.7068,343.09,346.24,342.93,346.1,343.09,346.24
1985,10,31335,1985.789,342.8,346.07,342.93,346.19,342.8,346.07
1985,11,31366,1985.874,344.24,346.29,344.24,346.28,344.24,346.29
1985,12,31396,1985.9562,345.56,346.4,345.54,346.37,345.56,346.4
1986,1,31427,1986.0411,346.3,346.27,346.51,346.47,346.3,346.27
1986,2,31458,1986.126,346.95,346.28,347.26,346.58,346.95,346.28
1986,3,31486,1986.2027,347.85,346.45,348.1,346.68,347.85,346.45
1986,4,31517,1986.2877,349.55,347.02,349.36,346.81,349.55,347.02
1986,5,31547,1986.3699,350.21,347.14,350,346.93,350.21,347.14
1986,6,31578,1986.4548,349.55,347.22,349.37,347.06,349.55,347.22
1986,7,31608,1986.537,347.94,347.18,347.91,347.18,347.94,347.18
1986,8,31639,1986.6219,345.9,347.27,345.9,347.31,345.9,347.27
1986,9,31670,1986.7068,344.85,348.01,344.26,347.44,344.85,348.01
1986,10,31700,1986.789,344.17,347.45,344.29,347.56,344.17,347.45
1986,11,31731,1986.874,345.66,347.72,345.65,347.69,345.66,347.72
1986,12,31761,1986.9562,346.9,347.75,347,347.83,346.9,347.75
1987,1,31792,1987.0411,348.02,347.99,348.01,347.97,348.02,347.99
1987,2,31823,1987.126,348.48,347.8,348.81,348.13,348.48,347.8
1987,3,31851,1987.2027,349.42,348.01,349.7,348.28,349.42,348.01
1987,4,31882,1987.2877,350.99,348.44,351.03,348.46,350.99,348.44
1987,5,31912,1987.3699,351.85,348.76,351.73,348.65,351.85,348.76
1987,6,31943,1987.4548,351.26,348.92,351.17,348.85,351.26,348.92
1987,7,31973,1987.537,349.51,348.75,349.78,349.06,349.51,348.75
1987,8,32004,1987.6219,348.1,349.48,347.86,349.27,348.1,349.48
1987,9,32035,1987.7068,346.45,349.62,346.31,349.5,346.45,349.62
1987,10,32065,1987.789,346.36,349.66,346.43,349.71,346.36,349.66
1987,11,32096,1987.874,347.81,349.88,347.89,349.94,347.81,349.88
1987,12,32126,1987.9562,348.96,349.81,349.33,350.16,348.96,349.81
1988,1,32157,1988.041,350.43,350.4,350.43,350.39,350.43,350.4
1988,2,32188,1988.1257,351.73,351.05,351.3,350.61,351.73,351.05
1988,3,32217,1988.2049,352.22,350.78,352.27,350.81,352.22,350.78
1988,4,32248,1988.2896,353.59,351.01,353.62,351.02,353.59,351.01
1988,5,32278,1988.3716,354.22,351.13,354.3,351.21,354.22,351.13
1988,6,32309,1988.4563,353.79,351.47,353.7,351.4,353.79,351.47
1988,7,32339,1988.5383,352.38,351.65,352.27,351.57,352.38,351.65
